time,seconds_elapsed,z,y,x
1788692032102147600,0.136147705078125,9.805529594421387,0.08446227014064789,-0.12180744856595993
1788692032107147500,0.1411474609375,9.805529594421387,0.08497541397809982,-0.12145774066448212
1788692032112147500,0.1461474609375,9.805533409118652,0.08526165038347244,-0.12092854082584381
1788692032117147400,0.1511474609375,9.805545806884766,0.08520829677581787,-0.11994462460279465
1788692032122147600,0.156147705078125,9.80555248260498,0.08504584431648254,-0.1195555031299591
1788692032127147500,0.1611474609375,9.805562973022461,0.08432174474000931,-0.11918952316045761
1788692032132147500,0.1661474609375,9.805575370788574,0.08426611870527267,-0.1181860864162445
1788692032137147400,0.1711474609375,9.805585861206055,0.08427386730909348,-0.11735767871141434
1788692032142147600,0.176147705078125,9.80558967590332,0.08458169549703598,-0.11680565029382706
1788692032147147500,0.1811474609375,9.805594444274902,0.08467811346054077,-0.11630406975746155
1788692032152147500,0.1861474609375,9.805597305297852,0.08449313044548035,-0.11622484028339386
1788692032157147400,0.1911474609375,9.80560302734375,0.08427813649177551,-0.11594785749912262
1788692032162147600,0.196147705078125,9.805599212646484,0.08467923849821091,-0.11598875373601913
1788692032167147500,0.2011474609375,9.805588722229004,0.08511696755886078,-0.11643722653388977
1788692032172147500,0.2061474609375,9.805585861206055,0.08545967191457748,-0.11652636528015137
1788692032177147400,0.2111474609375,9.80557918548584,0.08601516485214233,-0.11667824536561966
1788692032182147600,0.216147705078125,9.805577278137207,0.08615698665380478,-0.1167484000325203
1788692032187147500,0.2211474609375,9.805575370788574,0.08632634580135345,-0.11677499860525131
1788692032192147500,0.2261474609375,9.805572509765625,0.08637737482786179,-0.11694467067718506
1788692032197147400,0.2311474609375,9.805569648742676,0.08664080500602722,-0.1169523373246193
1788692032202147600,0.236147705078125,9.805570602416992,0.0866629034280777,-0.11687378585338593
1788692032207147500,0.2411474609375,9.80556869506836,0.08662082999944687,-0.11707045137882233
1788692032212147500,0.2461474609375,9.805567741394043,0.08659297972917557,-0.11719875782728195
1788692032217147400,0.2511474609375,9.805562973022461,0.08671071380376816,-0.11746443808078766
1788692032222147600,0.256147705078125,9.805562973022461,0.08666868507862091,-0.11749759316444397
1788692032227147500,0.2611474609375,9.805564880371094,0.08648630231618881,-0.11748390644788742
1788692032232147500,0.2661474609375,9.805564880371094,0.08648870140314102,-0.11749499291181564
1788692032237147400,0.2711474609375,9.805562973022461,0.08657408505678177,-0.11759199947118759
1788692032242147600,0.276147705078125,9.805560111999512,0.08672212809324265,-0.11776470392942429
1788692032247147500,0.2811474609375,9.805556297302246,0.08684476464986801,-0.11792566627264023
1788692032252147500,0.2861474609375,9.80555534362793,0.08700983971357346,-0.11787205189466476
1788692032257147400,0.2911474609375,9.805556297302246,0.0870031788945198,-0.11785159260034561
1788692032262147600,0.296147705078125,9.805556297302246,0.08710785210132599,-0.11776125431060791
1788692032267147500,0.3011474609375,9.805557250976562,0.08699949085712433,-0.11781327426433563
1788692032272147500,0.3061474609375,9.80555534362793,0.08706720918416977,-0.11784689873456955
1788692032277147400,0.3111474609375,9.805554389953613,0.08723820000886917,-0.1178605929017067
1788692032282147600,0.316147705078125,9.805553436279297,0.08735809475183487,-0.11784214526414871
1788692032287147500,0.3211474609375,9.805549621582031,0.08755650371313095,-0.11799120157957077
1788692032292147500,0.3261474609375,9.805547714233398,0.08752933889627457,-0.11814134567975998
1788692032297147400,0.3311474609375,9.805547714233398,0.08749743551015854,-0.11821219325065613
1788692032302147600,0.336147705078125,9.805546760559082,0.08754318952560425,-0.11823185533285141
1788692032307147500,0.3411474609375,9.805547714233398,0.08745988458395004,-0.118187315762043
1788692032312147500,0.3461474609375,9.805547714233398,0.08738373219966888,-0.11827429383993149
1788692032317147400,0.3511474609375,9.805549621582031,0.08741024881601334,-0.11809080839157104
1788692032322147600,0.356147705078125,9.805550575256348,0.08715464174747467,-0.11820679903030396
1788692032327147500,0.3611474609375,9.80555248260498,0.08699162304401398,-0.11814798414707184
1788692032332147500,0.3661474609375,9.80555248260498,0.08697737753391266,-0.11814242601394653
1788692032337147400,0.3711474609375,9.805553436279297,0.08699751645326614,-0.11807966977357864
1788692032342147600,0.376147705078125,9.805554389953613,0.08699595928192139,-0.11796946823596954
1788692032347147500,0.3811474609375,9.805557250976562,0.08692288398742676,-0.11779317259788513
1788692032352147500,0.3861474609375,9.805558204650879,0.0868808776140213,-0.1177508533000946
1788692032357147400,0.3911474609375,9.805559158325195,0.08686863631010056,-0.11768767982721329
1788692032362147600,0.396147705078125,9.805560111999512,0.0869242325425148,-0.1175352931022644
1788692032367147500,0.4011474609375,9.805562019348145,0.08692486584186554,-0.11741450428962708
1788692032372147500,0.4061474609375,9.805563926696777,0.08688344806432724,-0.11732218414545059
1788692032377147400,0.4111474609375,9.805564880371094,0.08693680167198181,-0.11716780066490173
1788692032382147600,0.416147705078125,9.805564880371094,0.08694851398468018,-0.1171325221657753
1788692032387147500,0.4211474609375,9.805564880371094,0.0869884192943573,-0.1171603724360466
1788692032392147500,0.4261474609375,9.805562973022461,0.08703484386205673,-0.1172935962677002
1788692032397147400,0.4311474609375,9.805561065673828,0.08713354915380478,-0.11736350506544113
1788692032402147600,0.436147705078125,9.805561065673828,0.08718302845954895,-0.11735294759273529
1788692032407147500,0.4411474609375,9.805560111999512,0.08708115667104721,-0.1174621656537056
1788692032412147500,0.4461474609375,9.805559158325195,0.08710304647684097,-0.1174960508942604
1788692032417147400,0.4511474609375,9.805560111999512,0.08708300441503525,-0.11742047965526581
1788692032422147600,0.456147705078125,9.805560111999512,0.08717397600412369,-0.11741593480110168
1788692032427147500,0.4611474609375,9.805559158325195,0.08724098652601242,-0.11743774265050888
1788692032432147500,0.4661474609375,9.805560111999512,0.0872185006737709,-0.11734087765216827
1788692032437147400,0.4711474609375,9.805560111999512,0.08723806589841843,-0.11731273680925369
1788692032442147600,0.476147705078125,9.805559158325195,0.08728235214948654,-0.11741218715906143
1788692032447147500,0.4811474609375,9.805559158325195,0.08739956468343735,-0.1173161119222641
1788692032452147500,0.4861474609375,9.805559158325195,0.08745725452899933,-0.11721941828727722
1788692032457147400,0.4911474609375,9.805560111999512,0.08751222491264343,-0.11717133969068527
1788692032462147600,0.496147705078125,9.805560111999512,0.0875040739774704,-0.11714128404855728
1788692032467147500,0.5011474609375,9.805559158325195,0.0875164344906807,-0.11722845584154129
1788692032472147500,0.5061474609375,9.805558204650879,0.08744318783283234,-0.11731728166341782
1788692032477147400,0.5111474609375,9.805559158325195,0.08743532001972198,-0.11731114983558655
1788692032482147600,0.516147705078125,9.805560111999512,0.08727332949638367,-0.11730723828077316
1788692032487147500,0.5211474609375,9.805561065673828,0.08722350746393204,-0.11728346347808838
1788692032492147500,0.5261474609375,9.805561065673828,0.08728208392858505,-0.11725065857172012
1788692032497147400,0.5311474609375,9.805561065673828,0.08720925450325012,-0.11723634600639343
1788692032502147600,0.536147705078125,9.805562019348145,0.08722984790802002,-0.11716879159212112
1788692032507147500,0.5411474609375,9.805562019348145,0.08726201206445694,-0.11716360598802567
1788692032512147500,0.5461474609375,9.805561065673828,0.08729558438062668,-0.11719934642314911
1788692032517147400,0.5511474609375,9.805562019348145,0.0872218906879425,-0.11722231656312943
1788692032522147600,0.556147705078125,9.805562019348145,0.08723617345094681,-0.11719807237386703
1788692032527147500,0.5611474609375,9.805562973022461,0.08720747381448746,-0.1171533465385437
1788692032532147500,0.5661474609375,9.805561065673828,0.08723846077919006,-0.11729180067777634
1788692032537147400,0.5711474609375,9.805560111999512,0.08729778975248337,-0.11726123839616776
