time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1788692032102147600,0.136147705078125,-0.993189811706543,-0.003555212402716279,0.006669207010418177,0.11626220494508743,0.012421682476997375,-0.008612860925495625,2.90858793258667
1788692032107147500,0.1411474609375,-0.9931897521018982,-0.0035832698922604322,0.006654540076851845,0.11626248061656952,0.012386024929583073,-0.00866518821567297,2.908587694168091
1788692032112147500,0.1461474609375,-0.9930713772773743,-0.0035941735841333866,0.0066330875270068645,0.11727020144462585,0.01233205758035183,-0.008694378659129143,2.9065582752227783
1788692032117147400,0.1511474609375,-0.9930709004402161,-0.003597310511395335,0.006582969333976507,0.11727684736251831,0.012231715023517609,-0.00868893787264824,2.9065444469451904
1788692032122147600,0.156147705078125,-0.9931315183639526,-0.0035947998985648155,0.00656043691560626,0.1167638748884201,0.01219202857464552,-0.008672371506690979,2.9075772762298584
1788692032127147500,0.1611474609375,-0.9931318163871765,-0.0035603120923042297,0.006537591107189655,0.11676371097564697,0.012154696509242058,-0.00859853159636259,2.9075770378112793
1788692032132147500,0.1661474609375,-0.9930747151374817,-0.003560283686965704,0.00648819375783205,0.11725123971700668,0.012052363716065884,-0.008592858910560608,2.906594753265381
1788692032137147400,0.1711474609375,-0.9930742383003235,-0.003565587569028139,0.006446313578635454,0.11725742369890213,0.011967879720032215,-0.008593648672103882,2.9065821170806885
1788692032142147600,0.176147705078125,-0.9930890202522278,-0.0035852803848683834,0.006419751327484846,0.11713281273841858,0.011911585927009583,-0.008625038899481297,2.9068329334259033
1788692032147147500,0.1811474609375,-0.9930889010429382,-0.003593142842873931,0.006394937168806791,0.1171351969242096,0.011860435828566551,-0.008634871803224087,2.9068281650543213
1788692032152147500,0.1861474609375,-0.9930912256240845,-0.0035843742080032825,0.006389749236404896,0.11711571365594864,0.011852351948618889,-0.00861600786447525,2.906867265701294
1788692032157147400,0.1911474609375,-0.9930912852287292,-0.0035751345567405224,0.006374442484229803,0.11711672693490982,0.011824102140963078,-0.008594083599746227,2.906864881515503
1788692032162147600,0.196147705078125,-0.9931026101112366,-0.0035958264488726854,0.006378556601703167,0.11701936274766922,0.011828277260065079,-0.00863498542457819,2.9070611000061035
1788692032167147500,0.2011474609375,-0.9931030869483948,-0.003615352790802717,0.006403859704732895,0.11701379716396332,0.011874019168317318,-0.008679624646902084,2.9070727825164795
1788692032172147500,0.2061474609375,-0.9930611252784729,-0.0036298870109021664,0.006411713548004627,0.11736808717250824,0.011883110739290714,-0.008714569732546806,2.9063594341278076
