Time,x
0,-0.120582856
0.004999756,-0.120273575
0.009999756,-0.119936839
0.014999756,-0.119645499
0.02,-0.1187682
0.024999756,-0.117648937
0.029999756,-0.116326585
0.034999756,-0.108294345
0.04,-0.095784128
0.044999756,-0.079485297
0.049999756,-0.050002545
0.054999756,-0.020840066
0.06,-0.009794108
0.064999756,0.01881144
0.069999756,0.040242355
0.074999756,0.06062156
0.08,0.064275399
0.084999756,0.066051416
0.089999756,0.06913694
0.094999756,0.071822837
0.1,0.074519314
0.104999756,0.077375107
0.109999756,0.079022072
0.114999756,0.081080809
0.12,0.085978158
0.124999756,0.088268928
0.129999756,0.08876659
0.134999756,0.092121914
0.14,0.093888372
0.144999756,0.096023984
0.149999756,0.098884046
0.154999756,0.100796379
0.16,0.103985325
0.164999756,0.107011132
0.169999756,0.110252425
0.174999756,0.113770202
0.18,0.116977446
0.184999756,0.120040126
0.189999756,0.123449057
0.194999756,0.125505611
0.2,0.127784297
0.204999756,0.129639149
0.209999756,0.130949184
0.214999756,0.132507205
0.22,0.133902282
0.224999756,0.135120988
0.229999756,0.137327939
0.234999756,0.138861418
0.24,0.139780253
0.244999756,0.141125634
0.249999756,0.14162001
0.254999756,0.142868772
0.26,0.143491477
0.264999756,0.144067109
0.269999756,0.142940104
0.274999756,0.141271859
0.28,0.137795553
0.284999756,0.133623451
0.289999756,0.13055557
0.294999756,0.127392337
0.3,0.124547094
0.304999756,0.118485451
0.309999756,0.114558592
0.314999756,0.108487703
0.32,0.104164921
0.324999756,0.095911145
0.329999756,0.091903917
0.334999756,0.084514618
0.34,0.078953534
0.344999756,0.073390797
0.349999756,0.067875825
0.354999756,0.063626818
0.36,0.060272042
0.364999756,0.056409523
0.369999756,0.052022129
0.374999756,0.047345184
0.38,0.041800175
0.384999756,0.035501998
0.389999756,0.029499236
0.394999756,0.023325633
0.4,0.018015312
0.404999756,0.015295475
0.409999756,0.011216485
0.414999756,0.006950639
0.42,0.001824212
0.424999756,-0.000953773
0.429999756,-0.005821102
0.434999756,-0.010667074
0.44,-0.015051224
0.444999756,-0.020366549
0.449999756,-0.025400873
0.454999756,-0.030406442
0.46,-0.035784312
0.464999756,-0.040633906
0.469999756,-0.045248661
0.474999756,-0.050007463
0.48,-0.054390099
0.484999756,-0.058724452
0.489999756,-0.063258961
0.494999756,-0.067634054
0.5,-0.069226988
0.504999756,-0.070113517
0.509999756,-0.075931825
0.514999756,-0.080375426
0.52,-0.082842514
0.524999756,-0.086403787
0.529999756,-0.088932067
0.534999756,-0.092560276
0.54,-0.096532702
0.544999756,-0.100553893
0.549999756,-0.104218751
0.554999756,-0.108944535
0.56,-0.112339199
0.564999756,-0.116295494
0.569999756,-0.119530387
0.574999756,-0.122697763
0.58,-0.126842514
0.584999756,-0.129924208
0.589999756,-0.132312804
0.594999756,-0.133193269
0.6,-0.134530246
0.604999756,-0.139829308
0.609999756,-0.142641023
0.614999756,-0.1457178
0.62,-0.148423538
0.624999756,-0.14975661
0.629999756,-0.150167957
0.634999756,-0.151098564
0.64,-0.149761543
0.644999756,-0.149952143
0.649999756,-0.150637135
0.654999756,-0.150425375
0.66,-0.149261191
0.664999756,-0.146520719
0.669999756,-0.144679427
0.674999756,-0.142626897
0.68,-0.139809057
0.684999756,-0.138239831
0.689999756,-0.135867208
0.694999756,-0.133382171
0.7,-0.129893646
0.704999756,-0.126090109
0.709999756,-0.121283345
0.714999756,-0.114365727
0.72,-0.104962297
0.724999756,-0.099182867
