time,x,x
1.78869E+18,-0.1199368,0
1.78869E+18,-0.121457741,-0.001520941
1.78869E+18,-0.120928541,-0.000991741
1.78869E+18,-0.119944625,-7.8246E-06
1.78869E+18,-0.119555503,0.000381297
1.78869E+18,-0.119189523,0.000747277
1.78869E+18,-0.118186086,0.001750714
1.78869E+18,-0.117357679,0.002579121
1.78869E+18,-0.11680565,0.00313115
1.78869E+18,-0.11630407,0.00363273
1.78869E+18,-0.11622484,0.00371196
1.78869E+18,-0.115947857,0.003988943
1.78869E+18,-0.115988754,0.003948046
1.78869E+18,-0.116437227,0.003499573
1.78869E+18,-0.116526365,0.003410435
1.78869E+18,-0.116678245,0.003258555
1.78869E+18,-0.1167484,0.0031884
1.78869E+18,-0.116774999,0.003161801
1.78869E+18,-0.116944671,0.002992129
1.78869E+18,-0.116952337,0.002984463
1.78869E+18,-0.116873786,0.003063014
1.78869E+18,-0.117070451,0.002866349
1.78869E+18,-0.117198758,0.002738042
1.78869E+18,-0.117464438,0.002472362
1.78869E+18,-0.117497593,0.002439207
1.78869E+18,-0.117483906,0.002452894
1.78869E+18,-0.117494993,0.002441807
1.78869E+18,-0.117591999,0.002344801
1.78869E+18,-0.117764704,0.002172096
1.78869E+18,-0.117925666,0.002011134
1.78869E+18,-0.117872052,0.002064748
1.78869E+18,-0.117851593,0.002085207
1.78869E+18,-0.117761254,0.002175546
1.78869E+18,-0.117813274,0.002123526
1.78869E+18,-0.117846899,0.002089901
1.78869E+18,-0.117860593,0.002076207
1.78869E+18,-0.117842145,0.002094655
1.78869E+18,-0.117991202,0.001945598
1.78869E+18,-0.118141346,0.001795454
1.78869E+18,-0.118212193,0.001724607
1.78869E+18,-0.118231855,0.001704945
1.78869E+18,-0.118187316,0.001749484
1.78869E+18,-0.118274294,0.001662506
1.78869E+18,-0.118090808,0.001845992
1.78869E+18,-0.118206799,0.001730001
1.78869E+18,-0.118147984,0.001788816
1.78869E+18,-0.118142426,0.001794374
1.78869E+18,-0.11807967,0.00185713
1.78869E+18,-0.117969468,0.001967332
1.78869E+18,-0.117793173,0.002143627
1.78869E+18,-0.117750853,0.002185947
1.78869E+18,-0.11768768,0.00224912
1.78869E+18,-0.117535293,0.002401507
1.78869E+18,-0.117414504,0.002522296
1.78869E+18,-0.117322184,0.002614616
1.78869E+18,-0.117167801,0.002768999
1.78869E+18,-0.117132522,0.002804278
1.78869E+18,-0.117160372,0.002776428
1.78869E+18,-0.117293596,0.002643204
1.78869E+18,-0.117363505,0.002573295
1.78869E+18,-0.117352948,0.002583852
1.78869E+18,-0.117462166,0.002474634
1.78869E+18,-0.117496051,0.002440749
1.78869E+18,-0.11742048,0.00251632
1.78869E+18,-0.117415935,0.002520865
1.78869E+18,-0.117437743,0.002499057
1.78869E+18,-0.117340878,0.002595922
1.78869E+18,-0.117312737,0.002624063
1.78869E+18,-0.117412187,0.002524613
1.78869E+18,-0.117316112,0.002620688
1.78869E+18,-0.117219418,0.002717382
1.78869E+18,-0.11717134,0.00276546
1.78869E+18,-0.117141284,0.002795516
1.78869E+18,-0.117228456,0.002708344
1.78869E+18,-0.117317282,0.002619518
1.78869E+18,-0.11731115,0.00262565
1.78869E+18,-0.117307238,0.002629562
1.78869E+18,-0.117283463,0.002653337
1.78869E+18,-0.117250659,0.002686141
1.78869E+18,-0.117236346,0.002700454
1.78869E+18,-0.117168792,0.002768008
1.78869E+18,-0.117163606,0.002773194
1.78869E+18,-0.117199346,0.002737454
1.78869E+18,-0.117222317,0.002714483
1.78869E+18,-0.117198072,0.002738728
1.78869E+18,-0.117153347,0.002783453
1.78869E+18,-0.117291801,0.002644999
1.78869E+18,-0.117261238,0.002675562
1.78869E+18,-0.117145583,0.002791217
1.78869E+18,-0.11708048,0.00285632
1.78869E+18,-0.117141135,0.002795665
1.78869E+18,-0.117150031,0.002786769
1.78869E+18,-0.117100842,0.002835958
1.78869E+18,-0.117139161,0.002797639
1.78869E+18,-0.117167071,0.002769729
1.78869E+18,-0.117208622,0.002728178
1.78869E+18,-0.11723005,0.00270675
1.78869E+18,-0.117187612,0.002749188
1.78869E+18,-0.117135912,0.002800888
1.78869E+18,-0.117221288,0.002715512
1.78869E+18,-0.117305472,0.002631328
